wl,lmax337,lmax356,lmax461,lmax541
300,0.775356725,0.624284943,0.169234194,0.161732657
301,0.778860825,0.625987669,0.17025906,0.163615625
302,0.782425427,0.628782879,0.172136291,0.165498592
303,0.789198566,0.64107803,0.173675619,0.166370108
304,0.797118249,0.648036782,0.176123122,0.168683174
305,0.805971235,0.656541482,0.177092179,0.169847939
306,0.812248464,0.663800891,0.178770524,0.171292576
307,0.820865397,0.671949368,0.180093718,0.173025318
308,0.829873106,0.679242513,0.180847655,0.17448539
309,0.8368942,0.687026829,0.182787798,0.17564501
310,0.845015223,0.693879409,0.185065842,0.176789195
311,0.852302125,0.702105283,0.18595778,0.178543545
312,0.858525796,0.708026126,0.187788334,0.179693904
313,0.866681532,0.717182744,0.188482402,0.180862785
314,0.872497565,0.723594759,0.190497634,0.182301249
315,0.878366164,0.731126047,0.191252585,0.184184216
316,0.885051031,0.739799433,0.192575779,0.186079531
317,0.889465622,0.747338659,0.194482436,0.187950151
318,0.895370919,0.754497849,0.196930953,0.189557362
319,0.900388537,0.761226395,0.19759458,0.190557496
320,0.905973475,0.768160341,0.199009098,0.192440463
321,0.912179293,0.774928578,0.199302352,0.195483051
322,0.91781779,0.782161195,0.201656501,0.198219013
323,0.925530183,0.790735354,0.203549967,0.200408606
324,0.933846594,0.798239852,0.204427699,0.203433702
325,0.9418605,0.805947763,0.206645875,0.206493781
326,0.949662157,0.814993248,0.205567228,0.209766852
327,0.958645071,0.822540413,0.205996455,0.214898196
328,0.965477719,0.830275116,0.206705743,0.218477893
329,0.973918108,0.839087418,0.208074599,0.219946196
330,0.979485194,0.846123567,0.208983788,0.222287043
331,0.984024754,0.852257747,0.21015173,0.224170011
332,0.990017331,0.857846181,0.211261832,0.226052979
333,0.994307945,0.864221482,0.21183109,0.227476008
334,0.996578221,0.869975625,0.212414553,0.231558858
335,0.999007188,0.877364027,0.214109134,0.23402215
336,0.999662781,0.883768103,0.214875247,0.236484413
337,1,0.887973321,0.214680421,0.237788086
338,0.99909546,0.895440112,0.216000571,0.238772785
339,0.998545992,0.901844188,0.216956436,0.240974725
340,0.997960818,0.906162524,0.218630723,0.243438017
341,0.997056278,0.91465234,0.220943268,0.24590028
342,0.988846983,0.922214389,0.220943268,0.246624657
343,0.982996237,0.928594651,0.222049312,0.249667245
344,0.977818936,0.938335713,0.223221312,0.251516257
345,0.972268711,0.943422062,0.223221312,0.255172095
346,0.964591032,0.955319315,0.224881393,0.257890566
347,0.959130071,0.961116125,0.224929085,0.261656501
348,0.953137494,0.970261828,0.22614066,0.265422436
349,0.94290687,0.97687428,0.227207129,0.26802978
350,0.932570122,0.983532376,0.228915916,0.270385033
351,0.92397005,0.987203755,0.230359862,0.271872886
352,0.911434437,0.991905105,0.23168407,0.274151997
353,0.90028142,0.996027965,0.232901733,0.274399973
354,0.888845735,0.998848973,0.23434162,0.276428022
355,0.873951573,0.999990077,0.23726807,0.277090662
356,0.859376777,1,0.239255905,0.27932347
357,0.846699333,0.999990077,0.241423345,0.279408872
358,0.827284456,0.999642785,0.245320881,0.279989197
359,0.810585182,0.99782694,0.248426937,0.280758847
360,0.793702421,0.993457007,0.251384843,0.281102514
361,0.760829537,0.983489708,0.254290999,0.279408872
362,0.740650958,0.96974982,0.258076916,0.279408872
363,0.720239301,0.96210839,0.261862833,0.277090662
364,0.700083534,0.94868801,0.267644703,0.275980431
365,0.664852102,0.933087625,0.272326617,0.273326784
366,0.640614004,0.919662285,0.27766404,0.269895256
367,0.618043155,0.902367112,0.281720887,0.267431964
368,0.597623563,0.887022731,0.284752868,0.265548996
369,0.569673083,0.871641637,0.288210017,0.263178309
370,0.549974544,0.854214493,0.291783857,0.261438365
371,0.525488491,0.839012006,0.296720466,0.258359764
372,0.497699677,0.821928186,0.301064479,0.256221618
373,0.469370321,0.80460126,0.305231931,0.25256578
374,0.438589185,0.779226076,0.310914358,0.24798595
375,0.417205545,0.760945585,0.31602144,0.244250883
376,0.394695197,0.748946128,0.321700823,0.240627971
377,0.368286996,0.727280029,0.328461897,0.236834254
378,0.347161229,0.70754587,0.336310749,0.232803881
379,0.314597793,0.691115952,0.342155532,0.229387786
380,0.300643877,0.675323068,0.346729886,0.224461202
381,0.288462343,0.658442661,0.353664477,0.220695267
382,0.27369315,0.643308641,0.359528539,0.215314919
383,0.261086126,0.628201412,0.364302792,0.209684537
384,0.242681913,0.615298994,0.371422062,0.204757953
385,0.232929346,0.59933941,0.377050709,0.199593682
386,0.220216197,0.588529679,0.382480472,0.194906842
387,0.209737618,0.575178758,0.388847834,0.190560583
388,0.194542935,0.561581755,0.394711897,0.185257405
389,0.183016994,0.549581306,0.401145216,0.180708443
390,0.169294172,0.5327009,0.408045306,0.17498237
391,0.157218762,0.521329547,0.414011855,0.170278037
392,0.149434959,0.510065359,0.421767354,0.167090369
393,0.140069202,0.494711056,0.426879509,0.162671054
394,0.13064096,0.483882472,0.434451343,0.156223691
395,0.119718046,0.477320625,0.439746148,0.152313703
396,0.112838782,0.468186829,0.443901423,0.149052979
397,0.105143746,0.461499958,0.448883694,0.145360099
398,0.099328011,0.453769224,0.456385513,0.142023234
399,0.092200197,0.450311182,0.46371483,0.139345921
400,0.086029886,0.445973993,0.470291225,0.13580018
401,0.080267412,0.442204379,0.475499778,0.133260746
402,0.076880842,0.439269261,0.481849891,0.130797454
403,0.071437436,0.435201968,0.488935675,0.128335191
404,0.065462117,0.432952504,0.495939266,0.126451194
405,0.061738725,0.430928284,0.502890093,0.124568227
406,0.055745653,0.428475406,0.510872888,0.122104935
407,0.051508002,0.42602352,0.518876993,0.121028659
408,0.048511516,0.425273368,0.526797891,0.118835979
409,0.044770271,0.423378142,0.53437074,0.117035327
410,0.043085863,0.423034819,0.540993812,0.11651674
411,0.03939788,0.421675416,0.547247527,0.114198529
412,0.03737655,0.420541258,0.554239956,0.114198529
413,0.035231144,0.419822858,0.562382063,0.112980259
414,0.033298484,0.417703381,0.568266419,0.111677616
415,0.030000484,0.414970684,0.576060477,0.110719669
416,0.028298421,0.412903797,0.582252294,0.110229891
417,0.026082001,0.410269334,0.591532915,0.108401458
418,0.024326678,0.405858717,0.599377709,0.108401458
419,0.022624516,0.402514786,0.608386386,0.106662542
420,0.021206015,0.39611071,0.615958221,0.105594498
421,0.01920244,0.391314102,0.624935441,0.105450446
422,0.017908114,0.386227754,0.635286591,0.104147289
423,0.016613769,0.3775246,0.645509887,0.103763904
424,0.015886805,0.370147113,0.657085803,0.103279374
425,0.014202377,0.363325293,0.669801249,0.101445179
426,0.014113728,0.353395701,0.682950995,0.100672236
427,0,0.345333551,0.697583245,0.098209355
428,0,0.335709576,0.714700543,0.097387332
429,0,0.325457497,0.724916736,0.097387332
430,0,0.31885993,0.740348585,0.097767733
431,0,0.310344314,0.753383667,0.09970616
432,0,0.304302415,0.765370545,0.100184619
433,0,0.292788176,0.778744544,0.100865472
434,0,0.285460301,0.790762877,0.100865472
435,0,0.278486665,0.806037445,0.101445179
436,0,0.271383043,0.816386566,0.100865472
437,0,0.261687625,0.827496726,0.100865472
438,0,0.256677681,0.844218283,0.100681496
439,0,0.25094636,0.856157469,0.09970616
440,0,0.245292436,0.868188994,0.100865472
441,0,0.240490867,0.878875002,0.101445179
442,0,0.235686322,0.888003416,0.101264187
443,0,0.230032398,0.899674716,0.100865472
444,0,0.228472558,0.908529155,0.101445179
445,0,0.225574153,0.918597199,0.101445179
446,0,0.223121275,0.928254281,0.101623083
447,0,0.219066881,0.935072179,0.102604593
448,0,0.217934707,0.944147827,0.103763904
449,0,0.214629474,0.95116461,0.103763904
450,0,0.212745163,0.957960185,0.105098547
451,0,0.211121818,0.965170779,0.103444931
452,0,0.208851517,0.971117034,0.101445179
453,0,0.205272418,0.977468161,0.101445179
454,0,0.201560356,0.983939025,0.101445179
455,0,0.197791735,0.990464684,0.101445179
456,0,0.192886971,0.994490075,0.102604593
457,0,0.187982207,0.997097903,0.101445179
458,0,0.182275692,0.999429728,0.101445179
459,0,0.177574343,0.999429728,0.103763904
460,0,0.172133755,0.999429728,0.103763904
461,0,0.166468917,1,0.104945235
462,0,0.161189076,0.999998985,0.106993862
463,0,0.156498641,0.998944692,0.108401458
464,0,0.151948116,0.997620484,0.110594138
465,0,0.147663517,0.992595594,0.111337035
466,0,0.142394592,0.987570705,0.113780777
467,0,0.137802391,0.983800008,0.115084449
468,0,0.134032777,0.978958783,0.116838799
469,0,0.124751134,0.974033336,0.118835979
470,0,0.116278186,0.96840063,0.119415275
471,0,0.111940997,0.9636142,0.121734515
472,0,0.107036233,0.95711188,0.122761401
473,0,0.102699441,0.950862224,0.125803989
474,0,0.098452151,0.942905811,0.12858008
475,0,0.09402546,0.935241637,0.13161032
476,0,0.090255946,0.925813881,0.135377284
477,0,0.086708203,0.918588066,0.139143219
478,0,0.082645772,0.906275464,0.143063496
479,0,0.080336078,0.894621414,0.146691553
480,0,0.07731622,0.887292097,0.151905212
481,0,0.074864036,0.871149945,0.157119901
482,0,0.071844178,0.859864238,0.16233356
483,0,0.069391895,0.842986414,0.167548249
484,0,0.065237085,0.827851878,0.172761908
485,0,0.062784802,0.812743724,0.179141361
486,0,0.060900094,0.788057636,0.185794514
487,0,0.058455749,0.763263988,0.195360607
488,0,0.056940561,0.748503883,0.202749454
489,0,0.054678396,0.722810179,0.212165321
490,0,0.05279359,0.699966821,0.221149031
491,0,0.051476458,0.680352299,0.230129655
492,0,0.049240588,0.66143489,0.240698968
493,0,0.0471737,0.645509887,0.249829818
494,0,0.045822236,0.627759404,0.258666389
495,0,0.044505005,0.610393501,0.268376534
496,0,0.042108189,0.594683618,0.277369505
497,0,0.040168014,0.581282222,0.289227057
498,0,0.03854199,0.567842267,0.30037155
499,0,0.036398599,0.553981203,0.310666135
500,0,0.034870214,0.539319526,0.32339726
501,0,0.030926557,0.529758842,0.333853389
502,0,0.030646739,0.518228588,0.348984011
503,0,0.02780906,0.505360934,0.361660602
504,0,0.02557319,0.492339043,0.380761919
505,0,0.024403906,0.486413083,0.394668098
506,0,0.022070397,0.478702232,0.413528643
507,0,0.020507679,0.470040589,0.434295821
508,0,0.018300883,0.456907079,0.455531168
509,0,0.017025922,0.4475605,0.475693327
510,0,0.017025922,0.438434116,0.504391605
511,0,0.014916863,0.43085112,0.534459408
512,0,0.013620757,0.422713072,0.557680618
513,0,0.013417502,0.410437,0.576043153
514,0,0.012849976,0.402770796,0.598335226
515,0,0.013053232,0.391468854,0.61870626
516,0,0.01173603,0.381858449,0.637738639
517,0,0.011714905,0.367935487,0.66842175
518,0,0.010783099,0.356270275,0.689069571
519,0,0.010215573,0.338795797,0.706523549
520,0,0.009304882,0.322717571,0.725145378
521,0,0,0.311342569,0.753553494
522,0,0,0.296259784,0.773099316
523,0,0,0.27781016,0.792751118
524,0,0,0.262948583,0.806537939
525,0,0,0.25130671,0.826271028
526,0,0,0.237075273,0.842867896
527,0,0,0.222751497,0.860601747
528,0,0,0.20870474,0.876706779
529,0,0,0.197583418,0.889635461
530,0,0,0.185134843,0.902207099
531,0,0,0.172935889,0.912813455
532,0,0,0.154686165,0.92516387
533,0,0,0.144291382,0.938889984
534,0,0,0.134670829,0.948907783
535,0,0,0.119592102,0.957501524
536,0,0,0.10984471,0.96757077
537,0,0,0.103893078,0.977784069
538,0,0,0.097268078,0.986369578
539,0,0,0.093385255,0.991516356
540,0,0,0.090737954,0.996536574
541,0,0,0.088822469,1
542,0,0,0.086544525,0.999484499
543,0,0,0.085975065,0.998055296
544,0,0,0.083697122,0.992592632
545,0,0,0.08205764,0.983449435
546,0,0,0.081284526,0.967948393
547,0,0,0.081988639,0.957908986
548,0,0,0.081988639,0.946619412
549,0,0,0.081988639,0.933083653
550,0,0,0.081988639,0.905943195
551,0,0,0.081988639,0.890335143
552,0,0,0.080849617,0.872815313
553,0,0,0.080280157,0.851863954
554,0,0,0.078002214,0.832163791
555,0,0,0.078002214,0.804368925
556,0,0,0.076859843,0.782988497
557,0,0,0.07515481,0.760966007
558,0,0,0.074409296,0.739790339
559,0,0,0.072888942,0.710996368
560,0,0,0.072704263,0.692381741
561,0,0,0.071168384,0.67433715
562,0,0,0.070029464,0.654288175
563,0,0,0.069145846,0.641354348
564,0,0,0.067409763,0.622923902
565,0,0,0.066086163,0.608036111
566,0,0,0.064334555,0.591903297
567,0,0,0.064334555,0.571819338
568,0,0,0.062743476,0.552272488
569,0,0,0.062056612,0.536060445
570,0,0,0.061746007,0.510869837
571,0,0,0.060348129,0.493111292
572,0,0,0.060348129,0.473302061
573,0,0,0.060348129,0.455247179
574,0,0,0.058819151,0.437376479
575,0,0,0.058639748,0.420220895
576,0,0,0.058639748,0.404575801
577,0,0,0.056361805,0.390021387
578,0,0,0.056361805,0.376336431
579,0,0,0.055528213,0.363518875
580,0,0,0.053635153,0.349465557
581,0,0,0.053450474,0.336344463
582,0,0,0.05187837,0.323824271
583,0,0,0.050666897,0.31338975
584,0,0,0.050618596,0.302090915
585,0,0,0.048388954,0.291729449
586,0,0,0.048388954,0.28079486
587,0,0,0.046680573,0.269665801
588,0,0,0.04554155,0.259423692
589,0,0,0.045139519,0.248063121
590,0,0,0.043833068,0.239788353
591,0,0,0.043061678,0.230326183
592,0,0,0.041921032,0.220689093
593,0,0,0.040416204,0.212484293
594,0,0,0.039660339,0.206111014
595,0,0,0.038707721,0.198994837
596,0,0,0.0375688,0.19326259
597,0,0,0.036999238,0.186990147
598,0,0,0.034721295,0.179580721
599,0,0,0.034151835,0.174074841
600,0,0,0.033012914,0.166710688
601,0,0,0.031873892,0.161410598
602,0,0,0.030734971,0.15500645
603,0,0,0.029026488,0.148749441
604,0,0,0.028132521,0.141795837
605,0,0,0.026748545,0.13756379
606,0,0,0.026179085,0.131534178
607,0,0,0.025040063,0.126172351
608,0,0,0.024052944,0.1222068
609,0,0,0.023331681,0.117767936
610,0,0,0.022451514,0.112986433
611,0,0,0.021053738,0.109748346
612,0,0,0.020960486,0.106321962
613,0,0,0.019345256,0.103279374
614,0,0,0.019345256,0.10076731
615,0,0,0.018050981,0.097000964
616,0,0,0.017067313,0.094393825
617,0,0,0.016497852,0.091688628
618,0,0,0.01643565,0.088554053
619,0,0,0.01617507,0.08618316
620,0,0,0.015220828,0.082806269
621,0,0,0.01478937,0.080199233
622,0,0,0.014558115,0.077592198
623,0,0,0.013080907,0.075564766
624,0,0,0.012542477,0.072129637
625,0,0,0.012649479,0.069770988
626,0,0,0.011941936,0.06778348
627,0,0,0.01135692,0.064556814
628,0,0,0.010233473,0.062857719
629,0,0,0.008894328,0.059815131
630,0,0,0.008525021,0.057388984
631,0,0,0.008340373,0.055468974
632,0,0,0,0.053840362
633,0,0,0,0.051233223
634,0,0,0,0.049819351
635,0,0,0,0.047356471
636,0,0,0,0.045730842
637,0,0,0,0.044169728
638,0,0,0,0.042866159
639,0,0,0,0.041737407
640,0,0,0,0.039418682
641,0,0,0,0.037679664
642,0,0,0,0.037072381
643,0,0,0,0.035768812
644,0,0,0,0.033621817
645,0,0,0,0.03304211
646,0,0,0,0.031833718
647,0,0,0,0.029975033
648,0,0,0,0.028671464
649,0,0,0,0.027824952
650,0,0,0,0.027223843
651,0,0,0,0.025506227
652,0,0,0,0.02492652
653,0,0,0,0.023767208
654,0,0,0,0.023730372
655,0,0,0,0.022028087
656,0,0,0,0.022028087
657,0,0,0,0.020997497
658,0,0,0,0.019709362
659,0,0,0,0.019709362
660,0,0,0,0.01940572
661,0,0,0,0.018549947
662,0,0,0,0.01911741
663,0,0,0,0.017813841
664,0,0,0,0.017691191
665,0,0,0,0.016945824
666,0,0,0,0.016231222
667,0,0,0,0.015498202
668,0,0,0,0.01477434
669,0,0,0,0
670,0,0,0,0
671,0,0,0,0
672,0,0,0,0
673,0,0,0,0
674,0,0,0,0
675,0,0,0,0
676,0,0,0,0
677,0,0,0,0
678,0,0,0,0
679,0,0,0,0
680,0,0,0,0
681,0,0,0,0
682,0,0,0,0
683,0,0,0,0
684,0,0,0,0
685,0,0,0,0
686,0,0,0,0
687,0,0,0,0
688,0,0,0,0
689,0,0,0,0
690,0,0,0,0
691,0,0,0,0
692,0,0,0,0
693,0,0,0,0
694,0,0,0,0
695,0,0,0,0
696,0,0,0,0
697,0,0,0,0
698,0,0,0,0
699,0,0,0,0
700,0,0,0,0
