wl,uv,sws,mws
300,0.577,0.184,0.123
301,0.591,0.189,0.126
302,0.604,0.194,0.130
303,0.617,0.199,0.133
304,0.630,0.204,0.137
305,0.642,0.209,0.140
306,0.654,0.214,0.144
307,0.666,0.219,0.148
308,0.678,0.223,0.151
309,0.689,0.228,0.155
310,0.700,0.232,0.159
311,0.711,0.237,0.162
312,0.722,0.241,0.166
313,0.732,0.245,0.170
314,0.743,0.249,0.173
315,0.753,0.253,0.177
316,0.763,0.257,0.181
317,0.773,0.260,0.184
318,0.783,0.264,0.188
319,0.793,0.267,0.191
320,0.803,0.270,0.195
321,0.813,0.273,0.198
322,0.823,0.275,0.202
323,0.833,0.278,0.205
324,0.843,0.280,0.208
325,0.852,0.283,0.212
326,0.862,0.285,0.215
327,0.872,0.286,0.218
328,0.881,0.288,0.221
329,0.891,0.290,0.224
330,0.900,0.291,0.227
331,0.909,0.292,0.229
332,0.918,0.293,0.232
333,0.927,0.294,0.235
334,0.935,0.295,0.237
335,0.943,0.296,0.240
336,0.951,0.296,0.242
337,0.959,0.297,0.244
338,0.965,0.297,0.246
339,0.972,0.297,0.248
340,0.978,0.297,0.250
341,0.983,0.298,0.252
342,0.988,0.298,0.254
343,0.992,0.298,0.255
344,0.995,0.298,0.257
345,0.998,0.298,0.258
346,0.999,0.298,0.259
347,1.000,0.298,0.260
348,1.000,0.298,0.261
349,0.998,0.298,0.262
350,0.996,0.299,0.263
351,0.993,0.299,0.263
352,0.988,0.300,0.264
353,0.982,0.300,0.264
354,0.975,0.301,0.264
355,0.966,0.302,0.264
356,0.957,0.303,0.264
357,0.945,0.304,0.264
358,0.933,0.306,0.263
359,0.919,0.308,0.263
360,0.903,0.309,0.262
361,0.886,0.312,0.262
362,0.868,0.314,0.261
363,0.848,0.317,0.260
364,0.827,0.320,0.259
365,0.804,0.323,0.258
366,0.780,0.327,0.257
367,0.754,0.331,0.255
368,0.728,0.335,0.254
369,0.700,0.339,0.253
370,0.671,0.344,0.251
371,0.641,0.349,0.249
372,0.611,0.355,0.248
373,0.579,0.361,0.246
374,0.548,0.367,0.244
375,0.516,0.374,0.242
376,0.484,0.380,0.240
377,0.452,0.388,0.238
378,0.421,0.395,0.236
379,0.390,0.403,0.234
380,0.360,0.412,0.232
381,0.331,0.420,0.230
382,0.303,0.429,0.228
383,0.277,0.439,0.226
384,0.251,0.448,0.223
385,0.228,0.458,0.221
386,0.205,0.468,0.219
387,0.184,0.479,0.217
388,0.165,0.490,0.215
389,0.148,0.501,0.213
390,0.131,0.512,0.211
391,0.117,0.524,0.209
392,0.103,0.535,0.207
393,0.091,0.547,0.205
394,0.081,0.559,0.203
395,0.071,0.572,0.202
396,0.062,0.584,0.200
397,0.055,0.597,0.198
398,0.048,0.610,0.197
399,0.042,0.623,0.196
400,0.037,0.636,0.194
401,0.032,0.649,0.193
402,0.028,0.662,0.192
403,0.024,0.675,0.191
404,0.021,0.688,0.191
405,0.019,0.701,0.190
406,0.016,0.714,0.189
407,0.014,0.727,0.189
408,0.012,0.740,0.189
409,0.011,0.753,0.189
410,0.009,0.766,0.189
411,0.008,0.779,0.189
412,0.007,0.791,0.190
413,0.006,0.804,0.191
414,0.005,0.816,0.192
415,0.005,0.828,0.193
416,0.004,0.839,0.194
417,0.004,0.851,0.195
418,0.003,0.862,0.197
419,0.003,0.873,0.199
420,0.002,0.884,0.201
421,0.002,0.894,0.203
422,0.002,0.904,0.206
423,0.002,0.914,0.209
424,0.001,0.923,0.212
425,0.001,0.931,0.215
426,0.001,0.940,0.218
427,0.001,0.948,0.222
428,0.001,0.955,0.226
429,0.001,0.962,0.230
430,0.001,0.968,0.235
431,0.001,0.974,0.239
432,0.000,0.980,0.244
433,0.000,0.984,0.249
434,0.000,0.988,0.255
435,0.000,0.992,0.260
436,0.000,0.995,0.266
437,0.000,0.997,0.272
438,0.000,0.999,0.279
439,0.000,1.000,0.285
440,0.000,1.000,0.292
441,0.000,1.000,0.299
442,0.000,0.998,0.306
443,0.000,0.996,0.314
444,0.000,0.994,0.322
445,0.000,0.990,0.330
446,0.000,0.986,0.338
447,0.000,0.981,0.347
448,0.000,0.976,0.355
449,0.000,0.969,0.364
450,0.000,0.962,0.373
451,0.000,0.954,0.382
452,0.000,0.946,0.392
453,0.000,0.936,0.402
454,0.000,0.926,0.412
455,0.000,0.915,0.422
456,0.000,0.904,0.432
457,0.000,0.891,0.442
458,0.000,0.878,0.453
459,0.000,0.865,0.463
460,0.000,0.851,0.474
461,0.000,0.836,0.485
462,0.000,0.821,0.496
463,0.000,0.805,0.508
464,0.000,0.788,0.519
465,0.000,0.772,0.530
466,0.000,0.754,0.542
467,0.000,0.737,0.553
468,0.000,0.719,0.565
469,0.000,0.701,0.577
470,0.000,0.682,0.589
471,0.000,0.663,0.600
472,0.000,0.644,0.612
473,0.000,0.625,0.624
474,0.000,0.606,0.636
475,0.000,0.587,0.648
476,0.000,0.567,0.660
477,0.000,0.548,0.672
478,0.000,0.529,0.683
479,0.000,0.510,0.695
480,0.000,0.491,0.707
481,0.000,0.472,0.719
482,0.000,0.453,0.730
483,0.000,0.434,0.742
484,0.000,0.416,0.753
485,0.000,0.398,0.764
486,0.000,0.380,0.775
487,0.000,0.363,0.786
488,0.000,0.346,0.797
489,0.000,0.329,0.808
490,0.000,0.313,0.819
491,0.000,0.297,0.829
492,0.000,0.281,0.839
493,0.000,0.266,0.849
494,0.000,0.252,0.859
495,0.000,0.237,0.868
496,0.000,0.224,0.878
497,0.000,0.210,0.887
498,0.000,0.198,0.895
499,0.000,0.186,0.904
500,0.000,0.174,0.912
501,0.000,0.163,0.920
502,0.000,0.152,0.928
503,0.000,0.142,0.935
504,0.000,0.132,0.942
505,0.000,0.123,0.949
506,0.000,0.114,0.955
507,0.000,0.106,0.961
508,0.000,0.098,0.967
509,0.000,0.091,0.972
510,0.000,0.084,0.976
511,0.000,0.077,0.981
512,0.000,0.071,0.985
513,0.000,0.066,0.988
514,0.000,0.060,0.991
515,0.000,0.055,0.994
516,0.000,0.051,0.996
517,0.000,0.047,0.998
518,0.000,0.043,0.999
519,0.000,0.039,1.000
520,0.000,0.036,1.000
521,0.000,0.033,1.000
522,0.000,0.030,0.999
523,0.000,0.027,0.998
524,0.000,0.025,0.996
525,0.000,0.022,0.993
526,0.000,0.020,0.991
527,0.000,0.019,0.987
528,0.000,0.017,0.983
529,0.000,0.015,0.979
530,0.000,0.014,0.974
531,0.000,0.013,0.968
532,0.000,0.012,0.962
533,0.000,0.010,0.955
534,0.000,0.009,0.948
535,0.000,0.009,0.940
536,0.000,0.008,0.932
537,0.000,0.007,0.923
538,0.000,0.006,0.914
539,0.000,0.006,0.905
540,0.000,0.005,0.894
541,0.000,0.005,0.884
542,0.000,0.004,0.873
543,0.000,0.004,0.861
544,0.000,0.004,0.849
545,0.000,0.003,0.837
546,0.000,0.003,0.824
547,0.000,0.003,0.811
548,0.000,0.002,0.798
549,0.000,0.002,0.784
550,0.000,0.002,0.770
551,0.000,0.002,0.756
552,0.000,0.002,0.741
553,0.000,0.001,0.726
554,0.000,0.001,0.712
555,0.000,0.001,0.696
556,0.000,0.001,0.681
557,0.000,0.001,0.666
558,0.000,0.001,0.650
559,0.000,0.001,0.635
560,0.000,0.001,0.619
561,0.000,0.001,0.603
562,0.000,0.001,0.588
563,0.000,0.001,0.572
564,0.000,0.001,0.556
565,0.000,0.000,0.541
566,0.000,0.000,0.525
567,0.000,0.000,0.510
568,0.000,0.000,0.495
569,0.000,0.000,0.479
570,0.000,0.000,0.464
571,0.000,0.000,0.449
572,0.000,0.000,0.435
573,0.000,0.000,0.420
574,0.000,0.000,0.406
575,0.000,0.000,0.392
576,0.000,0.000,0.378
577,0.000,0.000,0.364
578,0.000,0.000,0.350
579,0.000,0.000,0.337
580,0.000,0.000,0.324
581,0.000,0.000,0.312
582,0.000,0.000,0.299
583,0.000,0.000,0.287
584,0.000,0.000,0.275
585,0.000,0.000,0.264
586,0.000,0.000,0.252
587,0.000,0.000,0.241
588,0.000,0.000,0.230
589,0.000,0.000,0.220
590,0.000,0.000,0.210
591,0.000,0.000,0.200
592,0.000,0.000,0.191
593,0.000,0.000,0.181
594,0.000,0.000,0.172
595,0.000,0.000,0.164
596,0.000,0.000,0.155
597,0.000,0.000,0.147
598,0.000,0.000,0.140
599,0.000,0.000,0.132
600,0.000,0.000,0.125
601,0.000,0.000,0.118
602,0.000,0.000,0.111
603,0.000,0.000,0.105
604,0.000,0.000,0.099
605,0.000,0.000,0.093
606,0.000,0.000,0.088
607,0.000,0.000,0.082
608,0.000,0.000,0.077
609,0.000,0.000,0.073
610,0.000,0.000,0.068
611,0.000,0.000,0.064
612,0.000,0.000,0.060
613,0.000,0.000,0.056
614,0.000,0.000,0.052
615,0.000,0.000,0.049
616,0.000,0.000,0.046
617,0.000,0.000,0.042
618,0.000,0.000,0.040
619,0.000,0.000,0.037
620,0.000,0.000,0.034
621,0.000,0.000,0.032
622,0.000,0.000,0.030
623,0.000,0.000,0.028
624,0.000,0.000,0.026
625,0.000,0.000,0.024
626,0.000,0.000,0.022
627,0.000,0.000,0.020
628,0.000,0.000,0.019
629,0.000,0.000,0.018
630,0.000,0.000,0.016
631,0.000,0.000,0.015
632,0.000,0.000,0.014
633,0.000,0.000,0.013
634,0.000,0.000,0.012
635,0.000,0.000,0.011
636,0.000,0.000,0.010
637,0.000,0.000,0.009
638,0.000,0.000,0.009
639,0.000,0.000,0.008
640,0.000,0.000,0.007
641,0.000,0.000,0.007
642,0.000,0.000,0.006
643,0.000,0.000,0.006
644,0.000,0.000,0.005
645,0.000,0.000,0.005
646,0.000,0.000,0.005
647,0.000,0.000,0.004
648,0.000,0.000,0.004
649,0.000,0.000,0.004
650,0.000,0.000,0.003
651,0.000,0.000,0.003
652,0.000,0.000,0.003
653,0.000,0.000,0.003
654,0.000,0.000,0.002
655,0.000,0.000,0.002
656,0.000,0.000,0.002
657,0.000,0.000,0.002
658,0.000,0.000,0.002
659,0.000,0.000,0.002
660,0.000,0.000,0.001
661,0.000,0.000,0.001
662,0.000,0.000,0.001
663,0.000,0.000,0.001
664,0.000,0.000,0.001
665,0.000,0.000,0.001
666,0.000,0.000,0.001
667,0.000,0.000,0.001
668,0.000,0.000,0.001
669,0.000,0.000,0.001
670,0.000,0.000,0.001
671,0.000,0.000,0.001
672,0.000,0.000,0.001
673,0.000,0.000,0.001
674,0.000,0.000,0.000
675,0.000,0.000,0.000
676,0.000,0.000,0.000
677,0.000,0.000,0.000
678,0.000,0.000,0.000
679,0.000,0.000,0.000
680,0.000,0.000,0.000
681,0.000,0.000,0.000
682,0.000,0.000,0.000
683,0.000,0.000,0.000
684,0.000,0.000,0.000
685,0.000,0.000,0.000
686,0.000,0.000,0.000
687,0.000,0.000,0.000
688,0.000,0.000,0.000
689,0.000,0.000,0.000
690,0.000,0.000,0.000
691,0.000,0.000,0.000
692,0.000,0.000,0.000
693,0.000,0.000,0.000
694,0.000,0.000,0.000
695,0.000,0.000,0.000
696,0.000,0.000,0.000
697,0.000,0.000,0.000
698,0.000,0.000,0.000
699,0.000,0.000,0.000
700,0.000,0.000,0.000
